Year,World,OECD,BRICS,Europe,North America,Latin America,Asia,Pacific,Africa,Middle-East,CIS
1990,101855.54000000001,52602.490000000005,26621.070000000003,20654.88,24667.230000000003,5373.06,24574.190000000002,1197.89,4407.77,2581.86,16049.400000000001
1991,102483.56000000001,53207.25,26434.99,20631.620000000003,24841.68,5500.990000000001,24783.530000000002,1186.26,4535.700000000001,2744.6800000000003,15898.210000000001
1992,102588.23000000001,53788.75,25993.050000000003,20189.68,25341.77,5628.92,25690.670000000002,1209.52,4582.22,3081.9500000000003,14339.79
1993,103646.56000000001,54614.48,26283.800000000003,20189.68,25830.230000000003,5675.4400000000005,26876.93,1267.67,4721.780000000001,3349.44,13246.570000000002
1994,104449.03000000001,55579.770000000004,25993.050000000003,20085.010000000002,26365.210000000003,5989.450000000001,28098.08,1279.3000000000002,4803.1900000000005,3640.19,11606.740000000002
1995,107112.3,56754.4,26946.710000000003,20713.030000000002,26714.11,6024.34,29761.170000000002,1290.93,5000.900000000001,3744.86,11188.060000000001
1996,109763.94,58417.490000000005,27481.690000000002,21445.72,27295.61,6303.46,30772.980000000003,1372.3400000000001,5152.09,3814.6400000000003,10850.79
1997,110903.68000000001,59022.25000000001,27446.800000000003,21341.050000000003,27574.730000000003,6570.950000000001,31435.890000000003,1407.23,5280.02,4058.8700000000003,10373.960000000001
1998,111450.29000000001,59219.96000000001,27528.210000000003,21503.870000000003,27772.440000000002,6803.55,31331.22,1442.1200000000001,5431.21,4082.13,10152.99
1999,113974.0,60301.55,28319.050000000003,21306.16,28528.390000000003,6989.63,32412.81,1477.01,5559.14,4244.95,10373.960000000001
2000,116590.75,61685.520000000004,28923.81,21538.760000000002,29342.49,7024.52,33564.18,1500.27,5617.29,4314.7300000000005,10501.890000000001
2001,117521.15000000001,61452.920000000006,29528.570000000003,21934.18,28795.88,7036.150000000001,34227.090000000004,1477.01,5756.85,4663.63,10571.67
2002,120207.68000000001,61987.9,30552.010000000002,21969.07,29156.410000000003,7280.38,35680.840000000004,1523.5300000000002,5849.89,4884.6,10653.08
2003,124464.26000000001,62871.780000000006,33157.130000000005,22515.68,29377.38,7501.35,38181.29,1535.16,6140.64,4954.38,11036.87
2004,129953.62000000001,64058.04,35994.850000000006,22748.280000000002,29993.77,7780.47,41437.69,1558.42,6466.280000000001,5245.13,11188.060000000001
2005,133582.18000000002,64453.46000000001,38169.66,22864.58,30168.22,8059.59,43693.91,1570.0500000000002,6652.360000000001,5675.4400000000005,11222.95
2006,137396.82,64616.280000000006,40670.11,23108.81,29958.88,8303.82,46124.58,1616.5700000000002,6861.700000000001,5989.450000000001,11548.59
2007,141211.46000000002,64883.770000000004,43112.41,22829.690000000002,30424.08,8571.310000000001,48555.25,1663.0900000000001,7129.1900000000005,6315.09,11664.890000000001
2008,142874.55000000002,64034.780000000006,44635.94,22829.690000000002,29644.870000000003,8780.650000000001,49636.840000000004,1721.24,7443.200000000001,6850.070000000001,11874.230000000001
2009,141490.58000000002,61197.060000000005,46426.96000000001,21608.54,28214.38,8559.68,51858.170000000006,1721.24,7606.02,7059.410000000001,10967.09
2010,149294.31,63255.57000000001,50323.01,22469.16,28830.77,9117.92,56010.08,1732.8700000000001,7803.7300000000005,7361.790000000001,11804.45
2011,151783.13,62127.46000000001,53207.25,21794.620000000003,28598.170000000002,9304.0,58324.450000000004,1744.5,8117.740000000001,7524.610000000001,12164.980000000001
2012,153748.6,61685.520000000004,54975.01,21689.95,28167.86,9594.75,60022.43,1744.5,8303.82,7943.290000000001,12269.650000000001
2013,155958.30000000002,62080.94,56068.23,21480.61,28667.95,9978.54,61499.44,1767.7600000000002,8431.75,8071.22,12002.16
2014,157667.91,61499.44,57405.68,20689.77,29063.370000000003,9943.650000000001,62895.04,1767.7600000000002,8896.95,8513.16,11699.78
2015,158086.59,61511.07000000001,57533.61,21038.670000000002,28784.25,9873.87,63476.54,1767.7600000000002,8838.800000000001,8675.980000000001,11222.95
2016,159377.52000000002,61545.96000000001,57742.950000000004,21224.75,28563.280000000002,9745.94,63941.740000000005,1767.7600000000002,9106.29,8862.060000000001,11595.11
2017,162459.47,61929.75000000001,59429.3,21620.170000000002,28563.280000000002,9687.79,65721.13,1791.0200000000002,9304.0,9210.960000000001,11792.820000000002
2018,166297.37000000002,62592.66,61673.89000000001,21399.2,29470.420000000002,9513.34,68035.5,1791.0200000000002,9559.86,9257.480000000001,12385.95
2019,167553.41,61825.08,63255.57000000001,21061.93,29249.45,9478.45,69582.29000000001,1802.65,9641.27,9455.19,12490.62
2020,160819.64,57487.090000000004,63162.530000000006,19643.07,27063.010000000002,8815.54,69256.65000000001,1767.7600000000002,9408.67,9338.890000000001,11804.45
